 Шаг Элемент       Позиция X/R  Позиция Y/A  Позиция Z       Размер База        
=========================================================================
   1 Окружность        +3.0230      -6.1023    +0.1370      +0.5364             
   2 Окружность        +4.0276      -6.0968    +0.0440      +0.5598             
   3 Окружность        +5.0178      -6.1040    +0.0440      +0.5408             
   4 Окружность        +6.0213      -6.1043    +0.0440      +0.5504             
   5 Окружность        +7.0227      -6.1031    +0.0440      +0.5521             
   6 Окружность        +8.0095      -6.0971    +0.0440      +0.5868             
   7 Окружность        +9.0142      -6.1065    +0.0440      +0.5681             
   8 Окружность       +10.0163      -6.1096    +0.0440      +0.5956             
   9 Окружность       +11.0072      -6.1023    +0.0440      +0.5600             
  10 Окружность       +12.0034      -6.0949    +0.0440      +0.5511             
  11 Окружность       +12.9961      -6.0973    +0.0440      +0.5459             
  12 Окружность       +14.0038      -6.1006    +0.0440      +0.5447             
  13 Окружность       +14.9978      -6.0970    +0.0440      +0.5591             
  14 Окружность       +15.9974      -6.0654    +0.0440      +0.5860             
  15 Окружность       +16.9904      -6.0806    +0.0440      +0.5534             
  16 Окружность       +17.9937      -6.0792    +0.0440      +0.5429             
  17 Окружность       +18.9923      -6.0740    +0.0440      +0.5367             
  18 Окружность       +19.9914      -6.0529    +0.0440      +0.5946             
  19 Окружность       +20.9927      -6.0595    +0.0440      +0.5482             
  20 Окружность       +21.9995      -6.0613    +0.0440      +0.5462             
  21 Окружность       +22.9905      -6.0564    +0.0440      +0.5373             
  22 Окружность       +24.0007      -6.0468    +0.0440      +0.5403             
  23 Окружность       +24.9959      -6.0458    +0.0440      +0.5367             
  24 Окружность       +25.9972      -6.0363    +0.0440      +0.5450             
  25 Окружность       +27.0089      -6.0463    +0.0440      +0.5510             
  26 Окружность       +28.0099      -6.0346    +0.0440      +0.5505             
  27 Окружность       +29.0049      -6.0255    +0.0440      +0.5591             
  28 Окружность       +30.0049      -6.0292    +0.0440      +0.5357             
  29 Окружность       +31.0085      -6.0230    +0.0440      +0.5361             
  30 Окружность       +32.0074      -6.0271    +0.0440      +0.5303             
  31 Окружность       +33.0072      -6.0103    +0.0440      +0.5462             
  32 Окружность       +34.0102      -6.0036    +0.0440      +0.5450             
  33 Окружность       +35.0118      -6.0080    +0.0440      +0.5391             
  34 Окружность       +36.0226      -6.0179    +0.0440      +0.5252             
  35 Окружность       +37.0123      -5.9921    +0.0440      +0.5469             
  36 Окружность       +38.0140      -6.0037    +0.0440      +0.5414             
  37 Окружность       +39.0202      -5.9997    +0.0440      +0.5450             
  38 Окружность       +40.0101      -5.9901    +0.0440      +0.5418             
  39 Окружность       +41.0118      -5.9900    +0.0440      +0.5509             
  40 Окружность       +42.0160      -5.9760    +0.0440      +0.5457             
  41 Окружность       +43.0327      -5.9829    +0.0440      +0.5602             
  42 Окружность       +44.0307      -5.9761    +0.0440      +0.5461             
  43 Окружность       +45.0320      -5.9815    +0.0440      +0.5391             
  44 Окружность       +46.0321      -5.9799    +0.0440      +0.5563             
  45 Окружность       +47.0350      -5.9730    +0.0440      +0.5300             
  46 Окружность       +48.0283      -5.9777    +0.0440      +0.5437             
  47 Окружность       +49.0264      -5.9596    +0.0440      +0.5601             
  48 Окружность       +50.0312      -5.9565    +0.0440      +0.5636             
  49 Окружность       +51.0280      -5.9597    +0.0440      +0.5528             
  50 Окружность       +52.0306      -5.9426    +0.0440      +0.5568             
  51 Окружность       +53.0324      -5.9402    +0.0440      +0.5381             
  52 Окружность       +54.0377      -5.9247    +0.0440      +0.5428             
  53 Окружность       +55.0471      -5.9263    +0.0440      +0.5442             
  54 Окружность       +56.0407      -6.9320    +0.0440      +0.5589             
  55 Окружность       +56.0365      -7.9382    +0.0440      +0.5505             
  56 Окружность       +56.0161      -8.9422    +0.0440      +0.6000             
  57 Окружность       +55.9798      -9.9283    +0.0440      +0.5369             
  58 Окружность       +55.9548     -10.9307    +0.0440      +0.5412             
  59 Окружность       +55.9395     -11.9192    +0.0440      +0.5400             
  60 Окружность       +55.9293     -12.9156    +0.0440      +0.5375             
  61 Окружность       +55.9096     -13.9161    +0.0440      +0.5502             
  62 Окружность       +55.8981     -14.9109    +0.0440      +0.5468             
  63 Окружность       +55.8889     -15.9062    +0.0440      +0.5582             
  64 Окружность       +55.8807     -16.8992    +0.0440      +0.5495             
  65 Окружность       +55.8619     -17.8869    +0.0440      +0.5544             
  66 Окружность       +55.8502     -18.8788    +0.0440      +0.5508             
  67 Окружность       +55.8381     -19.8695    +0.0440      +0.5494             
  68 Окружность       +55.8381     -20.8677    +0.0440      +0.5547             
  69 Окружность       +55.8353     -21.8571    +0.0440      +0.5370             
  70 Окружность       +55.8368     -22.8388    +0.0440      +0.5410             
  71 Окружность       +55.8292     -23.8422    +0.0440      +0.5404             
  72 Окружность       +55.8258     -24.8416    +0.0440      +0.5408             
  73 Окружность       +55.8215     -25.8247    +0.0440      +0.5657             
  74 Окружность       +55.8208     -26.8238    +0.0440      +0.5370             
  75 Окружность       +55.8146     -27.8235    +0.0440      +0.5514             
  76 Окружность       +55.8170     -28.8103    +0.0440      +0.5989             
  77 Окружность       +55.8084     -29.8128    +0.0440      +0.5499             
  78 Окружность       +55.8039     -30.8035    +0.0440      +0.5257             
  79 Окружность       +55.8084     -31.7916    +0.0440      +0.5523             
